Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
ip-data-cable-3-a-100-cm-cb4038i,IP DATA CABLE 3.A 100 CM,<p>IP DATA CABLE 3.A 100 CM con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,CB4038i,250,shopify,5,deny,manual,20000,23000,TRUE,FALSE,http://www.vidvie.hk/Uploads/20240706/1720233927293931.jpg,1,active
type-c-data-cable-usb-c-300cm-3-a-cb4038,TYPE C DATA CABLE USB-C 300CM 3.A,<p>TYPE C DATA CABLE USB-C 300CM 3.A con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,CB4038,250,shopify,1,deny,manual,20000,23000,TRUE,FALSE,https://celulareslaverde.com/wp-content/uploads/2025/03/TYPE-C-DATA-CABLE-1.jpg,1,active
cable-cb4012i5-para-iphone-cb4012i,CABLE CB4012I5 PARA IPHONE,<p>CABLE CB4012I5 PARA IPHONE con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,CB4012i,250,shopify,1,deny,manual,15000,17250,TRUE,FALSE,https://www.vidvie.hk/Uploads/20240531/1717137258148252.jpg,1,active
type-c-to-type-c-data-cable-100w-5a-cb4013c&c,TYPE C-TO TYPE C DATA CABLE 100W 5A,<p>TYPE C-TO TYPE C DATA CABLE 100W 5A con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,CB4013C&C,250,shopify,7,deny,manual,25000,28750,TRUE,FALSE,https://images.nexusapp.co/assets/34/07/a9/466349345.jpg,1,active
type-c-ip-data-cable-vs-b02,TYPE -C & IP DATA CABLE,<p>TYPE -C & IP DATA CABLE con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,VS-B02,250,shopify,22,deny,manual,15000,17250,TRUE,FALSE,http://ven-dens.com/wp-content/uploads/2024/11/2-34.jpg,1,active
type-c-type-c-data-cable-66w-vs-b02-tc,TYPE-C & TYPE C DATA CABLE 66W,<p>TYPE-C & TYPE C DATA CABLE 66W con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,VS-B02-TC,250,shopify,8,deny,manual,15000,17250,TRUE,FALSE,"https://icdn.tradew.com/file/202308/1575939/jpg/8042706.jpg?x-oss-process=image/quality,Q_90",1,active
combo-teclado-y-mouse-inalambrico-consmo-ws600,COMBO TECLADO Y MOUSE INALAMBRICO CONSMO,<p>COMBO TECLADO Y MOUSE INALAMBRICO CONSMO con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,WS600,250,shopify,1,deny,manual,80000,92000,TRUE,FALSE,https://dizaonline.com/wp-content/uploads/2024/03/Combo-Teclado-y-Mouse-Inalambrico-Recargable.jpg,1,active
teclados-alambricos-sunjoy-sw-k110-sw-k110,TECLADOS ALAMBRICOS SUNJOY SW-K110,<p>TECLADOS ALAMBRICOS SUNJOY SW-K110 con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,SW-K110,250,shopify,1,deny,manual,40000,46000,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_800016-MLA100575943522_122025-O.webp,1,active
combo-teclado-genius-km-160,COMBO TECLADO GENIUS,<p>COMBO TECLADO GENIUS con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,KM-160,250,shopify,1,deny,manual,100000,115000,TRUE,FALSE,https://nanotech-market.com/wp-content/uploads/2023/07/Lime-Green-and-Black-Active-Hype-Personal-Fitness-Coach-Instagram-Post-2023-07-24T145730.733-1-1024x1024.png,1,active
teclado-alambrico-usb-flexible-negro-caja-azul-r11-1,TECLADO ALAMBRICO USB FLEXIBLE NEGRO CAJA AZUL,<p>TECLADO ALAMBRICO USB FLEXIBLE NEGRO CAJA AZUL con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,R11-1,250,shopify,2,deny,manual,40000,46000,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_943793-MLU74102534003_012024-O.webp,1,active
teclado-alambrico-usb-flexible-negro-numerico-r11-2,TECLADO ALAMBRICO USB FLEXIBLE NEGRO NUMERICO,<p>TECLADO ALAMBRICO USB FLEXIBLE NEGRO NUMERICO con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,R11-2,250,shopify,1,deny,manual,55000,63250,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_820256-MLM81769591903_012025-O.webp,1,active
teclado-basik-tech-usb-bsk8t-80164,TECLADO BASIK TECH USB BSK8T,<p>TECLADO BASIK TECH USB BSK8T con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,80164,250,shopify,10,deny,manual,30000,34500,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2025/06/Teclado-Basik-Tech-Usb-Bsk08t-80164-700x700.png,1,active
combo-usb-teclado-y-mouse-bsk-9307-80412,COMBO USB TECLADO Y MOUSE BSK 9307,<p>COMBO USB TECLADO Y MOUSE BSK 9307 con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,80412,250,shopify,5,deny,manual,45000,51750,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2026/01/COMBO-USB-TECLADO-Y-MOUSE-BSK-9307_80412_BSK-9307_7-768x768.png,1,active
teclado-usb-gamer-tech-gt600t-10900,TECLADO USB GAMER TECH GT600T,<p>TECLADO USB GAMER TECH GT600T con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,10900,250,shopify,4,deny,manual,90000,103500,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2019/11/TECLADO USB GAMER TECH GT600T_10900_GT 600T_3-600x600.png,1,active
j-r-mini-teclado-inalambrico-mtijr-007,J&R MINI TECLADO INALAMBRICO,<p>J&R MINI TECLADO INALAMBRICO con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,MTIJR-007,250,shopify,2,deny,manual,85000,97750,TRUE,FALSE,https://exitocol.vteximg.com.br/arquivos/ids/325335/Mini-Teclado-Inalambrico-3-en-1-Retroiluminado-J-R-007.jpg?v=637004854091630000,1,active
estuche-protector-lapiz-stylius-pen-h-hx,ESTUCHE PROTECTOR LAPIZ STYLIUS PEN,<p>ESTUCHE PROTECTOR LAPIZ STYLIUS PEN con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,H-HX,250,shopify,2,deny,manual,20000,23000,TRUE,FALSE,https://www.picclickimg.com/0VwAAOSwoWZn0gaZ/Stylus-Pencil-Bag-Tablet-Pencil-Shield-Stylus-Pen.webp,1,active
teclado-usb-gamer-tech-gt400t-10901,TECLADO USB GAMER TECH GT400T,<p>TECLADO USB GAMER TECH GT400T con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,10901,250,shopify,1,deny,manual,120000,138000,TRUE,FALSE,https://exitocol.vtexassets.com/arquivos/ids/18480688/TECLADO-USB-GAMER-TECH-GT400T-JAL-TECH-10901-3192683_b.jpg?v=638199300076700000,1,active
combo-usb-teclado-mouse-gamer-t-gt-300c-10907,COMBO USB TECLADO MOUSE GAMER T.GT 300C,<p>COMBO USB TECLADO MOUSE GAMER T.GT 300C con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,10907,250,shopify,1,deny,manual,130000,149500,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2023/11/Combo-Usb-Teclado-Y-Mouse-Gamer-T.-Gt300c-10907-2-700x700.png,1,active
combo-usb-teclado-gamer-t-10906,COMBO USB TECLADO GAMER T.,<p>COMBO USB TECLADO GAMER T. con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,10906,250,shopify,1,deny,manual,100000,115000,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2023/11/COMBO-USB-TECLADO-Y-MOUSE-GAMER-T.-GT680C_10906_GT680C_1.png,1,active
adaptador-wifi-ac-dual-band-600m-w164-11360,ADAPTADOR WIFI AC DUAL BAND 600M-W164,<p>ADAPTADOR WIFI AC DUAL BAND 600M-W164 con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,11360,250,shopify,1,deny,manual,45000,51750,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2023/09/ADAPTADOR-WIFI-AC-DUAL-BAND-600M_11360_AC-600MW164_2.png,1,active
game-stick-pro-gs23g-30493,GAME STICK PRO GS23G,<p>GAME STICK PRO GS23G con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,30493,250,shopify,2,deny,manual,180000,207000,TRUE,FALSE,https://www.gamestickpro.com/cdn/shop/files/S1769a0d721b4430e861196979f9646ee0_1_b372f56a-b781-4170-ba85-8c7e143d0954.jpg?v=1737085763,1,active
game-stick-consola-1139509,GAME STICK CONSOLA,<p>GAME STICK CONSOLA con garantía oficial Tecno+.</p>,Tecno+,Gaming y TV Box,Gaming y TV Box,"Gaming y TV Box, tecno-plus",TRUE,Title,Default Title,1139509,250,shopify,1,deny,manual,190000,218500,TRUE,FALSE,http://acdn-us.mitiendanube.com/stores/001/688/686/products/ccccc-dc743cc5eee4f08a1317277939908795-640-0.webp,1,active
vidvie-parlante-led-wireless-sp923,VIDVIE PARLANTE LED WIRELESS,<p>VIDVIE PARLANTE LED WIRELESS con garantía oficial Tecno+.</p>,Tecno+,Sonido y Audio,Sonido y Audio,"Sonido y Audio, tecno-plus",TRUE,Title,Default Title,SP923,250,shopify,1,deny,manual,250000,287500,TRUE,FALSE,https://www.vidvie.hk/Uploads/20240530/1717053387510050.png,1,active
parlante-speaker-bt-mechancal-30681,PARLANTE SPEAKER BT MECHANCAL,<p>PARLANTE SPEAKER BT MECHANCAL con garantía oficial Tecno+.</p>,Tecno+,Sonido y Audio,Sonido y Audio,"Sonido y Audio, tecno-plus",TRUE,Title,Default Title,30681,250,shopify,3,deny,manual,90000,103500,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2025/01/SPEAKER-BT-MECHANICAL_30681_Z6-5W_5-1200x1200.png,1,active
parlante-b-transparente-a11-80399,PARLANTE B TRANSPARENTE A11,<p>PARLANTE B TRANSPARENTE A11 con garantía oficial Tecno+.</p>,Tecno+,Sonido y Audio,Sonido y Audio,"Sonido y Audio, tecno-plus",TRUE,Title,Default Title,80399,250,shopify,2,deny,manual,55000,63250,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2024/04/PARLANTE-BT-TRANSPARENTE-A11_8039900_A11_4-1200x1200.png,1,active
audifonos-bt-msl05-80403,AUDIFONOS BT MSL05,<p>AUDIFONOS BT MSL05 con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,80403,250,shopify,5,deny,manual,40000,46000,TRUE,FALSE,http://tecnomascol.com/cdn/shop/files/Photoroom_20250127_160416_1200x1200.jpg?v=1738865189,1,active
air-conduction-wireless-headset-5-3-bt876,AIR CONDUCTION WIRELESS HEADSET 5.3,<p>AIR CONDUCTION WIRELESS HEADSET 5.3 con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,BT876,250,shopify,2,deny,manual,170000,195500,TRUE,FALSE,https://vidvie.hk/Uploads/2024-05-16/6645d17fa3f6b.jpg,1,active
vidvie-audifonos-sport-ear-type-bt858,VIDVIE AUDIFONOS SPORT EAR TYPE,<p>VIDVIE AUDIFONOS SPORT EAR TYPE con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,BT858,250,shopify,2,deny,manual,180000,207000,TRUE,FALSE,https://losnovedosos.com/wp-content/uploads/2022/12/D_NQ_NP_649778-MCO51805443386_102022-O.jpg,1,active
wireless-calling-smart-sports-watch-sw1618,WIRELESS CALLING SMART SPORTS WATCH,<p>WIRELESS CALLING SMART SPORTS WATCH con garantía oficial Tecno+.</p>,Tecno+,Smartwatch y Relojes,Smartwatch y Relojes,"Smartwatch y Relojes, tecno-plus",TRUE,Title,Default Title,SW1618,250,shopify,4,deny,manual,120000,138000,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_602363-MLC83509282232_042025-O-reloj-inteligente-smartwatch-llamadas-inalambr-vidvie-sw1618.webp,1,active
in-ear-type-c-cable-cable-control-music-headset-hs664,IN-EAR TYPE-C CABLE CABLE CONTROL MUSIC HEADSET,<p>IN-EAR TYPE-C CABLE CABLE CONTROL MUSIC HEADSET con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,HS664,250,shopify,4,deny,manual,35000,40250,TRUE,FALSE,https://celulareslaverde.com/wp-content/uploads/2025/03/Auricular-Cable-Tipo-C-Vidvie-HS664-1.jpg,1,active
wireless-headset-qw15,WIRELESS HEADSET,<p>WIRELESS HEADSET con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,QW15,250,shopify,2,deny,manual,28000,32200,TRUE,FALSE,https://www.uka-cham.com/wp-content/uploads/2023/04/Q15.png,1,active
vidvie-audifonos-eb01,VIDVIE AUDIFONOS,<p>VIDVIE AUDIFONOS con garantía oficial Tecno+.</p>,Tecno+,Audífonos y Diademas,Audífonos y Diademas,"Audífonos y Diademas, tecno-plus",TRUE,Title,Default Title,EB01,250,shopify,2,deny,manual,68000,78200,TRUE,FALSE,https://www.vidvie.hk/Uploads/20221220/1671521937385466.jpg,1,active
vidvies-multi-charguin-cable-66w-cb4004,VIDVIES Multi Charguin Cable 66W,<p>VIDVIES Multi Charguin Cable 66W con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,CB4004,250,shopify,5,deny,manual,55000,63250,TRUE,FALSE,https://celulareslaverde.com/wp-content/uploads/2025/04/vidvie-multi-charging-cable-cb4004.jpg,1,active
magnetic-metal-ultra-thin-powerbank-5000mah-pb789,MAGNETIC METAL ULTRA-THIN POWERBANK 5000mAh,<p>MAGNETIC METAL ULTRA-THIN POWERBANK 5000mAh con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,PB789,250,shopify,2,deny,manual,180000,207000,TRUE,FALSE,https://www.vidvie.hk/Uploads/2024-05-27/665444a7ed85e.png,1,active
power-bank-20000mah-led-pb775,POWER BANK 20000mAh LED,<p>POWER BANK 20000mAh LED con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,PB775,250,shopify,1,deny,manual,150000,172500,TRUE,FALSE,https://marketplace.bancointer.com.br/ecommerce/images/platform/8ab732c13d03bab2b362be02385e47ec.png,1,active
fast-charging-power-bank-ugreen-200w-25000mah-pb722,FAST CHARGING POWER BANK UGREEN 200W 25000mAh,<p>FAST CHARGING POWER BANK UGREEN 200W 25000mAh con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,PB722,250,shopify,1,deny,manual,390000,448500,TRUE,FALSE,https://img.ep-cdn.com/i/500/500/oh/ohbavpxqmiysgtwdrfcl/ugreen-25000mah-200w-fast-charging-power-bank-pb722-cene.jpg,1,active
amoled-ultra-clear-screen-wireless-call-smart-watch-sw1617,AMOLED ULTRA CLEAR SCREEN WIRELESS CALL SMART WATCH,<p>AMOLED ULTRA CLEAR SCREEN WIRELESS CALL SMART WATCH con garantía oficial Tecno+.</p>,Tecno+,Smartwatch y Relojes,Smartwatch y Relojes,"Smartwatch y Relojes, tecno-plus",TRUE,Title,Default Title,SW1617,250,shopify,1,deny,manual,235000,270250,TRUE,FALSE,https://vidvietech.com/wp-content/uploads/2024/09/1-2.webp,1,active
amoled-ultra-clear-screen-wireless-call-smart-watch-sw1619,AMOLED ULTRA CLEAR SCREEN WIRELESS CALL SMART WATCH,<p>AMOLED ULTRA CLEAR SCREEN WIRELESS CALL SMART WATCH con garantía oficial Tecno+.</p>,Tecno+,Smartwatch y Relojes,Smartwatch y Relojes,"Smartwatch y Relojes, tecno-plus",TRUE,Title,Default Title,SW1619,250,shopify,1,deny,manual,230000,264500,TRUE,FALSE,https://cdn.gearbest.ma/wp-content/uploads/2023/12/New-AMOLED-Screen-Smart-Watch-Always-Show-Time-Bluetooth-Call-Series-8-High-Refresh-Rtae-NFC.webp,1,active
smartwatch-x4-manillas-145946,SMARTWATCH X4 MANILLAS,<p>SMARTWATCH X4 MANILLAS con garantía oficial Tecno+.</p>,Tecno+,Smartwatch y Relojes,Smartwatch y Relojes,"Smartwatch y Relojes, tecno-plus",TRUE,Title,Default Title,145946,250,shopify,1,deny,manual,70000,80500,TRUE,FALSE,https://luegopagocdn.azureedge.net/content-process/products-images/prod/2926/993cbed1-ff99-4ca2-831f-6d631fd00c48.webp,1,active
j-r-watch-2-jyrsw2-0760,J&R WATCH 2,<p>J&R WATCH 2 con garantía oficial Tecno+.</p>,Tecno+,Smartwatch y Relojes,Smartwatch y Relojes,"Smartwatch y Relojes, tecno-plus",TRUE,Title,Default Title,JYRSW2-0760,250,shopify,1,deny,manual,250000,287500,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_823033-MLU77289574234_072024-O.webp,1,active
smart-watch-set-black-i7promaxl-30673,SMART WATCH SET BLACK I7PROMAXL,<p>SMART WATCH SET BLACK I7PROMAXL con garantía oficial Tecno+.</p>,Tecno+,Smartwatch y Relojes,Smartwatch y Relojes,"Smartwatch y Relojes, tecno-plus",TRUE,Title,Default Title,30673,250,shopify,2,deny,manual,90000,103500,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2025/02/Smartwatch-Set-Black-–-I7promaxl-5-1536x1536.png,1,active
mouse-pc-708-color-negro-jaltech-10389,MOUSE PC-708 COLOR NEGRO JALTECH,<p>MOUSE PC-708 COLOR NEGRO JALTECH con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,10389,250,shopify,5,deny,manual,20000,23000,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2022/11/MOUSE-PC_10389_708_2-768x768.png,1,active
mouse-usb-inalambrico-curve-10589,MOUSE USB INALAMBRICO CURVE,<p>MOUSE USB INALAMBRICO CURVE con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,10589,250,shopify,6,deny,manual,35000,40250,TRUE,FALSE,https://exitocol.vtexassets.com/arquivos/ids/24286924/mouse-usb-inalambrico-curve-wx-03-cod-10589-jaltech.jpg?v=638604579534870000,1,active
adaptador-wifi-antena-usb-2-0-b441-10637,ADAPTADOR WIFI ANTENA USB 2.0 B441,<p>ADAPTADOR WIFI ANTENA USB 2.0 B441 con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,10637,250,shopify,10,deny,manual,30000,34500,TRUE,FALSE,https://exitocol.vtexassets.com/arquivos/ids/29231450/adaptador-wifi-antena-usb-20-b441.jpg?v=638888833154030000,1,active
cable-impresora-1-5mt-filtro-10686,CABLE IMPRESORA 1.5MT FILTRO,<p>CABLE IMPRESORA 1.5MT FILTRO con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,10686,250,shopify,15,deny,manual,15000,17250,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2025/11/Cable-Impresora-1.5m-Filtro-10686-2-768x768.png,1,active
cable-de-red-cat6-5mts-10849,CABLE DE RED CAT6 5MTS,<p>CABLE DE RED CAT6 5MTS con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,10849,250,shopify,4,deny,manual,25000,28750,TRUE,FALSE,https://puntocom.gt/wp-content/uploads/2025/05/431.jpg,1,active
convertidor-hdmi-a-vga-hdmi-2-10922,CONVERTIDOR HDMI A VGA HDMI 2,<p>CONVERTIDOR HDMI A VGA HDMI 2 con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,10922,250,shopify,11,deny,manual,25000,28750,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2019/10/CONVERTIDOR HDMI A VGA ECO_10922_B559_2-600x600.png,1,active
dp-to-hdmi-4k-cable-1-8m-1094800,DP TO HDMI 4K CABLE 1.8M,<p>DP TO HDMI 4K CABLE 1.8M con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,1094800,250,shopify,14,deny,manual,25000,28750,TRUE,FALSE,https://electronicakramon.cl/wp-content/uploads/2025/05/TM-100529.2.jpg,1,active
cable-de-red-cat6-10mts-10949,CABLE DE RED CAT6 10MTS,<p>CABLE DE RED CAT6 10MTS con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,10949,250,shopify,4,deny,manual,40000,46000,TRUE,FALSE,https://roxvan.com/wp-content/uploads/2024/11/c584812325688d0557398005fc454d57cee6230c-1728660511-Capturadepantalla2024-10-11103019.png,1,active
convertidor-vga-a-hdmi-lh001-11184,CONVERTIDOR VGA A HDMI LH001,<p>CONVERTIDOR VGA A HDMI LH001 con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,11184,250,shopify,9,deny,manual,25000,28750,TRUE,FALSE,https://latiendatecno.com/wp-content/uploads/2024/04/3356.png,1,active
cable-adaptador-tipo-c-3-en-1-lh003-11185,CABLE ADAPTADOR TIPO C 3 EN 1 LH003,<p>CABLE ADAPTADOR TIPO C 3 EN 1 LH003 con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,11185,250,shopify,4,deny,manual,50000,57500,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2024/03/cable-adaptador-tipo-c-3-en-1_11185_lh00_2.png,1,active
adaptador-wifi-300m-w131-11189,ADAPTADOR WIFI 300M W131,<p>ADAPTADOR WIFI 300M W131 con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,11189,250,shopify,10,deny,manual,35000,40250,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2024/07/ADAPTADOR-WIFI-300M_11189_W131_1.png,1,active
cable-vga-1-8m-10348,CABLE VGA 1.8M,<p>CABLE VGA 1.8M con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,10348,250,shopify,13,deny,manual,15000,17250,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2019/10/CABLE VGA 1.8M_10348_VGA-1.8M_5-600x600.png,1,active
fuente-de-poder-230w-reales-plus-230w-11261,FUENTE DE PODER 230W REALES PLUS 230W,<p>FUENTE DE PODER 230W REALES PLUS 230W con garantía oficial Tecno+.</p>,Tecno+,Cargadores y Energía,Cargadores y Energía,"Cargadores y Energía, tecno-plus",TRUE,Title,Default Title,11261,250,shopify,5,deny,manual,100000,115000,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2023/03/FUENTE-DE-PODER-230W-REALES_11298_-FPS-230W_1.png,1,active
convert-hdmi-a-vga-activo-lh053-11276,CONVERT HDMI A VGA ACTIVO LH053,<p>CONVERT HDMI A VGA ACTIVO LH053 con garantía oficial Tecno+.</p>,Tecno+,Accesorios y Varios,Accesorios y Varios,"Accesorios y Varios, tecno-plus",TRUE,Title,Default Title,11276,250,shopify,9,deny,manual,25000,28750,TRUE,FALSE,https://cambiosystem.com/wp-content/uploads/2024/08/CONVERT.-HDMI-A-VGA-ACTIVO_11276_LH053_1.png.webp,1,active
cable-mini-hdmi-a-hdmi-1-5-mts-jalmin-11351,CABLE MINI HDMI A HDMI 1.5 MTS JALMIN,<p>CABLE MINI HDMI A HDMI 1.5 MTS JALMIN con garantía oficial Tecno+.</p>,Tecno+,Cables y Conectividad,Cables y Conectividad,"Cables y Conectividad, tecno-plus",TRUE,Title,Default Title,11351,250,shopify,10,deny,manual,20000,23000,TRUE,FALSE,https://http2.mlstatic.com/D_NQ_NP_821560-MLC72703805656_112023-O-cable-mini-hdmi-a-hdmi-largo-15-metros.webp?ref=11351,1,active
extension-usb-macho-macho-50-cms-11510,EXTENSION USB MACHO MACHO 50 CMS,<p>EXTENSION USB MACHO MACHO 50 CMS con garantía oficial Tecno+.</p>,Tecno+,Cómputo y Accesorios,Cómputo y Accesorios,"Cómputo y Accesorios, tecno-plus",TRUE,Title,Default Title,11510,250,shopify,10,deny,manual,13000,14950,TRUE,FALSE,https://jaltechsas.com/wp-content/uploads/2024/08/EXTENSION-USB-MACHO-MACHO-50-CMS_11510_LH101_2-768x768.png,1,active
